Date,Close/Last,Volume,Open,High,Low
03/22/2024,$509.58,8120593,$507.00,$509.97,$504.34
03/21/2024,$507.76,9712549,$514.71,$515.04,$506.01
03/20/2024,$505.52,11711100,$499.50,$508.1999,$495.17
03/19/2024,$496.24,10903090,$488.17,$496.6296,$481.28
03/18/2024,$496.98,11755250,$491.91,$497.42,$486.81
03/15/2024,$484.10,29153580,$489.01,$491.83,$481.3001
03/14/2024,$491.83,12620010,$500.255,$501.35,$488.16
03/13/2024,$495.57,12090660,$495.39,$500.98,$491.0318
03/12/2024,$499.75,15448230,$493.26,$502.31,$484.73
03/11/2024,$483.59,20428270,$497.01,$497.318,$476.00
03/08/2024,$505.95,18597060,$514.19,$523.57,$499.35
03/07/2024,$512.19,18586440,$503.28,$519.85,$501.38
03/06/2024,$496.09,11757930,$497.63,$502.97,$494.292
03/05/2024,$490.22,15325300,$495.00,$495.58,$487.89
03/04/2024,$498.19,12324140,$503.00,$504.42,$496.42
03/01/2024,$502.30,15884880,$492.11,$504.25,$491.85
02/29/2024,$490.13,17732050,$488.44,$491.70,$482.61
02/28/2024,$484.02,12715490,$485.00,$491.05,$482.75
02/27/2024,$487.05,10809600,$479.975,$487.27,$479.92
02/26/2024,$481.74,12101420,$483.47,$486.14,$480.60
02/23/2024,$484.03,18374290,$488.05,$494.3599,$482.3482
02/22/2024,$486.13,21625810,$480.24,$489.99,$476.0618
02/21/2024,$468.03,12977050,$466.50,$469.00,$461.79
02/20/2024,$471.75,18015520,$469.715,$476.18,$466.56
02/16/2024,$473.32,23324620,$478.11,$478.96,$469.21
02/15/2024,$484.03,24212330,$475.28,$488.62,$472.22
02/14/2024,$473.28,16858400,$467.93,$474.11,$466.0901
02/13/2024,$460.12,20916600,$456.87,$467.89,$455.09
02/12/2024,$468.90,19381960,$468.19,$479.145,$466.58
02/09/2024,$468.11,18413140,$472.95,$473.59,$467.465
02/08/2024,$470.00,18815100,$468.32,$470.59,$465.03
02/07/2024,$469.59,23065990,$458.00,$471.52,$456.1773
02/06/2024,$454.72,21655210,$464.00,$467.12,$453.00
02/05/2024,$459.41,40832380,$469.88,$471.90,$459.22
02/02/2024,$474.99,84707650,$459.60,$485.96,$453.01
02/01/2024,$394.78,29727050,$393.94,$400.50,$393.05
01/31/2024,$390.14,20180820,$389.00,$398.00,$387.10
01/30/2024,$400.06,18614730,$403.59,$406.36,$399.57
01/29/2024,$401.02,18742430,$394.985,$402.93,$393.10
01/26/2024,$394.14,13159290,$394.35,$396.79,$391.5908
01/25/2024,$393.18,15091080,$390.17,$395.49,$385.66
01/24/2024,$390.70,15604290,$390.00,$396.15,$387.81
01/23/2024,$385.20,15506100,$384.615,$388.38,$382.075
01/22/2024,$381.78,17680450,$387.95,$390.3525,$381.1601
01/19/2024,$383.45,21670810,$379.00,$384.36,$377.97
01/18/2024,$376.13,16354330,$371.49,$376.85,$370.95
01/17/2024,$368.37,12724780,$366.30,$368.54,$358.61
01/16/2024,$367.46,15306890,$373.65,$375.61,$367.23
01/12/2024,$374.49,19310050,$370.155,$377.06,$369.54
01/11/2024,$369.67,17205390,$372.13,$372.78,$362.93
01/10/2024,$370.47,22117210,$360.17,$372.94,$359.08
01/09/2024,$357.43,13463870,$356.40,$360.64,$355.36
01/08/2024,$358.66,13890220,$354.70,$358.98,$352.05
01/05/2024,$351.95,13750910,$346.99,$353.50,$346.2601
01/04/2024,$347.12,12099900,$344.50,$348.1499,$343.3987
01/03/2024,$344.47,15451130,$344.98,$347.95,$343.175
01/02/2024,$346.29,19042150,$351.32,$353.16,$340.01
12/29/2023,$353.96,14987090,$358.99,$360.00,$351.82
12/28/2023,$358.32,11798810,$359.70,$361.90,$357.81
12/27/2023,$357.83,13207930,$356.07,$359.00,$355.31
12/26/2023,$354.83,9898614,$354.99,$356.98,$353.45
12/22/2023,$353.39,11772780,$355.58,$357.1999,$351.22
12/21/2023,$354.09,15289560,$352.98,$356.405,$349.21
12/20/2023,$349.28,16369850,$348.65,$354.96,$347.79
12/19/2023,$350.36,17729360,$345.58,$353.60,$345.12
12/18/2023,$344.62,18993850,$337.48,$347.56,$337.02
12/15/2023,$334.92,31776850,$331.99,$338.66,$331.22
12/14/2023,$333.17,19607340,$333.85,$334.70,$328.6371
12/13/2023,$334.74,16353320,$333.93,$338.37,$332.64
12/12/2023,$334.22,18485460,$324.60,$334.47,$324.56
12/11/2023,$325.28,25802460,$329.40,$329.89,$319.995
12/08/2023,$332.75,14087350,$323.09,$333.17,$323.00
12/07/2023,$326.59,15905080,$317.77,$328.24,$317.77
12/06/2023,$317.45,11294340,$321.93,$322.25,$317.04
12/05/2023,$318.29,16952130,$318.98,$321.88,$315.39
12/04/2023,$320.02,19037080,$317.29,$320.86,$313.66
12/01/2023,$324.82,15276380,$325.48,$326.86,$320.76
11/30/2023,$327.15,23146390,$331.89,$333.50,$322.4037
11/29/2023,$332.20,16024500,$339.69,$339.90,$330.78
11/28/2023,$338.99,12637250,$333.40,$339.375,$333.40
11/27/2023,$334.70,15684450,$336.18,$339.90,$334.20
11/24/2023,$338.23,5467488,$340.13,$341.8556,$336.77
11/22/2023,$341.49,10715180,$339.21,$342.92,$338.58
11/21/2023,$336.98,12027860,$338.33,$339.9015,$335.90
11/20/2023,$339.97,16976130,$334.89,$341.87,$334.19
11/17/2023,$335.04,14519210,$330.26,$335.50,$329.35
11/16/2023,$334.19,18932570,$329.37,$334.58,$326.38
11/15/2023,$332.71,14531180,$337.93,$338.40,$330.02
11/14/2023,$336.31,17179400,$334.54,$338.10,$333.33
11/13/2023,$329.19,16908950,$326.20,$332.33,$325.70
11/10/2023,$328.77,19116920,$319.94,$329.10,$319.46
11/09/2023,$320.55,16103070,$319.418,$324.1799,$318.80
11/08/2023,$319.78,13609700,$318.14,$321.33,$314.88
11/07/2023,$318.82,14055610,$317.06,$321.00,$315.12
11/06/2023,$315.80,12887700,$315.98,$318.33,$314.45
11/03/2023,$314.60,16764320,$312.55,$315.55,$311.0167
11/02/2023,$310.87,21631820,$317.30,$318.82,$308.33
11/01/2023,$311.85,20434580,$301.85,$312.74,$301.85
10/31/2023,$301.27,19434170,$303.31,$303.68,$296.86
10/30/2023,$302.66,28435050,$299.09,$309.3967,$299.05
10/27/2023,$296.73,29596260,$294.48,$299.31,$292.97
10/26/2023,$288.35,66684140,$295.00,$295.00,$279.403
10/25/2023,$299.53,42192470,$310.00,$310.88,$298.84
10/24/2023,$312.55,19525490,$316.78,$318.35,$310.63
10/23/2023,$314.01,17796790,$309.50,$317.36,$307.26
10/20/2023,$308.65,22312280,$314.14,$315.30,$306.47
10/19/2023,$312.81,18709160,$319.875,$321.89,$311.7504
10/18/2023,$316.97,16851000,$321.39,$325.94,$315.56
10/17/2023,$324.00,16387800,$318.18,$324.40,$317.30
10/16/2023,$321.15,16536110,$318.64,$321.82,$315.52
10/13/2023,$314.69,21360790,$323.53,$325.0502,$312.37
10/12/2023,$324.16,20530520,$328.00,$330.54,$322.69
10/11/2023,$327.82,22036300,$323.005,$328.835,$322.95
10/10/2023,$321.84,19037970,$319.12,$324.66,$318.16
10/09/2023,$318.36,22503660,$312.50,$320.33,$311.82
10/06/2023,$315.43,21803860,$301.44,$316.31,$300.9148
10/05/2023,$304.79,19129960,$304.625,$306.208,$299.50
10/04/2023,$305.58,16880480,$298.725,$306.90,$298.50
10/03/2023,$300.94,17362250,$304.26,$306.77,$299.64
10/02/2023,$306.82,16265570,$302.74,$307.18,$301.63
09/29/2023,$300.21,25373700,$307.38,$310.64,$299.36
09/28/2023,$303.96,22167080,$298.935,$306.3299,$296.70
09/27/2023,$297.74,36429840,$300.45,$301.2997,$286.79
09/26/2023,$298.96,19417160,$297.66,$300.2999,$296.0101
09/25/2023,$300.83,18987010,$295.64,$300.95,$293.70
09/22/2023,$299.08,25369590,$299.30,$305.38,$298.27
09/21/2023,$295.73,21319580,$295.70,$300.2566,$293.27
09/20/2023,$299.67,19379520,$305.05,$308.06,$299.43
09/19/2023,$305.07,15931620,$302.48,$306.17,$299.81
09/18/2023,$302.55,14234160,$298.19,$303.60,$297.80
09/15/2023,$300.31,28131140,$311.61,$312.00,$298.75
09/14/2023,$311.72,19343100,$306.74,$312.87,$305.03
09/13/2023,$305.06,13210920,$302.36,$307.18,$301.3206
09/12/2023,$301.66,13480400,$306.33,$308.6599,$300.23
09/11/2023,$307.56,19489330,$301.41,$309.04,$301.28
09/08/2023,$297.89,17572200,$299.22,$305.25,$296.78
09/07/2023,$298.67,33748740,$298.00,$307.0499,$292.22
09/06/2023,$299.17,15418090,$301.71,$303.30,$295.66
09/05/2023,$300.15,14955990,$297.02,$301.39,$295.51
09/01/2023,$296.38,12842260,$299.37,$301.74,$294.47
08/31/2023,$295.89,17229870,$295.80,$301.10,$295.66
08/30/2023,$295.10,17717020,$297.17,$298.29,$293.43
08/29/2023,$297.99,20844520,$288.585,$299.15,$288.18
08/28/2023,$290.26,14239290,$288.00,$291.45,$285.80
08/25/2023,$285.50,23701440,$286.13,$288.386,$276.03
08/24/2023,$286.75,18360880,$298.50,$299.46,$286.64
08/23/2023,$294.24,18287000,$288.50,$297.40,$287.67
08/22/2023,$287.60,12999910,$292.55,$292.90,$286.75
08/21/2023,$289.90,20181480,$283.45,$290.50,$281.85
08/18/2023,$283.25,35347930,$279.03,$285.69,$274.38
08/17/2023,$285.09,23950090,$293.05,$296.05,$284.95
08/16/2023,$294.29,18547740,$300.195,$301.08,$294.28
08/15/2023,$301.95,11623610,$306.14,$307.23,$300.03
08/14/2023,$306.19,15641920,$300.98,$306.21,$298.25
08/11/2023,$301.64,14046250,$302.57,$304.72,$300.36
08/10/2023,$305.74,14358900,$307.94,$312.339,$303.87
08/09/2023,$305.21,19955780,$312.88,$313.63,$302.85
08/08/2023,$312.64,15183530,$314.40,$317.89,$310.11
08/07/2023,$316.56,16236500,$313.23,$317.07,$310.46
08/04/2023,$310.73,17612760,$314.96,$318.41,$310.20
08/03/2023,$313.19,15215420,$309.93,$315.9499,$309.93
08/02/2023,$314.31,20461090,$318.00,$318.39,$310.65
08/01/2023,$322.71,22889870,$317.535,$324.14,$314.66
07/31/2023,$318.60,25799600,$323.69,$325.6599,$317.59
07/28/2023,$325.48,39220270,$316.875,$326.20,$314.2481
07/27/2023,$311.71,64229170,$325.12,$325.35,$309.84
07/26/2023,$298.57,47256930,$301.19,$301.77,$291.90
07/25/2023,$294.47,19585580,$295.19,$298.30,$291.86
07/24/2023,$291.61,24949410,$295.78,$297.52,$288.3001
07/21/2023,$294.26,42139260,$304.57,$305.46,$291.20
07/20/2023,$302.52,23836880,$313.50,$315.54,$302.22
07/19/2023,$316.01,21763690,$313.03,$318.68,$310.52
07/18/2023,$312.05,20764580,$310.875,$314.20,$307.6188
07/17/2023,$310.62,25323130,$307.54,$311.71,$304.71
07/14/2023,$308.87,23054110,$311.79,$314.88,$307.3612
07/13/2023,$313.41,30280970,$313.62,$316.24,$310.2901
07/12/2023,$309.34,36677130,$301.745,$309.45,$300.1004
07/11/2023,$298.29,27585920,$293.90,$300.18,$291.90
07/10/2023,$294.10,37058310,$295.55,$298.13,$287.05
07/07/2023,$290.53,25585980,$292.18,$296.20,$288.66
07/06/2023,$291.99,47733830,$295.885,$298.12,$291.31
07/05/2023,$294.37,33865460,$287.65,$298.12,$286.36
07/03/2023,$286.02,8608555,$286.70,$289.40,$284.8499
06/30/2023,$286.98,19694870,$284.76,$289.05,$284.415
06/29/2023,$281.53,15395690,$284.50,$286.57,$280.69
06/28/2023,$285.29,16722120,$284.82,$289.55,$284.06
06/27/2023,$287.05,26108260,$282.01,$289.345,$280.655
06/26/2023,$278.47,24232650,$288.70,$289.79,$277.60
06/23/2023,$288.73,51092040,$281.51,$289.67,$278.95
06/22/2023,$284.88,17563060,$279.08,$285.26,$277.79
06/21/2023,$281.64,20556170,$283.53,$284.00,$278.36
06/20/2023,$284.33,20701590,$278.73,$284.80,$276.22
06/16/2023,$281.00,43127730,$284.75,$287.85,$280.13
06/15/2023,$281.83,25973460,$272.30,$283.99,$271.42
06/14/2023,$273.35,19175070,$271.89,$274.99,$268.315
06/13/2023,$271.32,16164020,$274.88,$275.72,$269.0923
06/12/2023,$271.05,15471700,$267.17,$271.75,$265.33
06/09/2023,$264.95,16949790,$262.48,$267.949,$261.70
06/08/2023,$264.58,20899360,$260.62,$267.65,$258.88
06/07/2023,$263.60,26163630,$271.67,$274.25,$262.80
06/06/2023,$271.12,19419010,$270.14,$276.57,$269.69
06/05/2023,$271.39,20742950,$270.30,$275.57,$269.56
06/02/2023,$272.61,19416930,$272.66,$275.35,$271.12
06/01/2023,$272.61,25609510,$265.90,$274.00,$265.89
05/31/2023,$264.72,25473690,$260.00,$265.00,$258.45
05/30/2023,$262.52,23816480,$265.25,$268.65,$261.29
